,factory,,,,,,,,,,,,,,,,,,
kernel,linear,,,,,,rbf,,,,,,kernel,rbf,,,,,
c,c=0.5,,c=1,,c=5,,c=0.5,,c=1,,c=5,,c,c=0.5,,c=1,,c=5,
features,single,reverse,single,reverse,single,reverse,single,reverse,single,reverse,single,reverse,features,single,reverse,single,reverse,single,reverse
DQ,92.383,91.0773,92.383,91.0773,92.383,91.0773,92.7095,92.383,93.1447,92.383,93.9064,92.383,DQ,92.7095,92.383,93.1447,92.383,93.9064,92.383
DR,92.383,91.0773,92.383,91.0773,92.383,91.0773,92.383,92.383,92.2742,92.383,91.839,92.383,DR,92.383,92.383,92.2742,92.383,91.839,92.383
DS,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.6007,92.383,92.4918,92.383,DS,92.383,92.383,92.6007,92.383,92.4918,92.383
DT,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.2742,92.383,92.0566,92.383,91.5125,92.383,DT,92.2742,92.383,92.0566,92.383,91.5125,92.383
DU,92.383,92.2742,92.383,92.2742,92.383,92.2742,91.9478,92.383,92.0566,92.383,91.5125,92.383,DU,91.9478,92.383,92.0566,92.383,91.5125,92.383
DV,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.0566,92.383,92.2742,92.383,91.4037,92.383,DV,92.0566,92.383,92.2742,92.383,91.4037,92.383
DW,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.7095,92.383,92.2742,92.383,DW,92.383,92.383,92.7095,92.383,92.2742,92.383
DX,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.2742,92.383,91.839,92.383,91.4037,92.383,DX,92.2742,92.383,91.839,92.383,91.4037,92.383
DY,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,DY,92.383,92.383,92.383,92.383,92.383,92.383
DZ,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,DZ,92.383,92.383,92.383,92.383,92.383,92.383
EA,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,EA,92.383,92.383,92.383,92.383,92.383,92.383
EB,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,EB,92.383,92.383,92.383,92.383,92.383,92.383
EC,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,EC,92.383,92.383,92.383,92.383,92.383,92.383
ED,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,ED,92.383,92.383,92.383,92.383,92.383,92.383
EE,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,EE,92.383,92.383,92.383,92.383,92.383,92.383
EF,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,EF,92.383,92.383,92.383,92.383,92.383,92.383
EG,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,EG,92.383,92.383,92.383,92.383,92.383,92.383
EH,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,EH,92.383,92.383,92.383,92.383,92.383,92.383
EI,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,EI,92.383,92.383,92.383,92.383,92.383,92.383
EJ,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,EJ,92.383,92.383,92.383,92.383,92.383,92.383
EK,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,EK,92.383,92.383,92.383,92.383,92.383,92.383
EL,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,EL,92.383,92.383,92.383,92.383,92.383,92.383
EM,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,EM,92.383,92.383,92.383,92.383,92.383,92.383
EN,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,EN,92.383,92.383,92.383,92.383,92.383,92.383
EO,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,EO,92.383,92.383,92.383,92.383,92.383,92.383
EP,21.5452,62.1328,21.5452,62.1328,21.5452,62.1328,93.9064,92.383,92.383,92.383,92.383,92.383,EP,93.9064,92.383,92.383,92.383,92.383,92.383
EQ,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,EQ,92.383,92.383,92.383,92.383,92.383,92.383
ER,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,ER,92.383,92.383,92.383,92.383,92.383,92.383
ES,92.383,91.0773,92.383,91.0773,92.383,91.0773,92.383,92.383,92.383,92.383,92.383,92.383,ES,92.383,92.383,92.383,92.383,92.383,92.383
ET,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,ET,92.383,92.383,92.383,92.383,92.383,92.383
EU,93.9064,92.2742,93.9064,92.2742,93.9064,92.2742,93.9064,92.383,93.9064,92.383,93.9064,92.383,EU,93.9064,92.383,93.9064,92.383,93.9064,92.383
EV,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,EV,92.383,92.383,92.383,92.383,92.383,92.383
EW,92.383,92.2742,92.383,92.2742,92.383,92.2742,93.9064,92.383,93.9064,92.383,93.9064,92.383,EW,93.9064,92.383,93.9064,92.383,93.9064,92.383
EX,92.383,91.0773,92.383,91.0773,92.383,91.0773,92.383,92.383,92.383,92.383,92.383,92.383,EX,92.383,92.383,92.383,92.383,92.383,92.383
